name,location,specialty,facility_type,place_id,latitude,longitude,vicinity,rating,reviews,is_open_now,opening_hours,phone_number,website,emergency_facility,response_probability,distance_from_center,has_phone,has_website,collected_at
Vinnayak Spine Hospital | Robotic Spine Super Speciality Hospital in Maharashtra | Spine Specialist in Pune,"kanade mala, 52/1, Jagdamba Bhawan Marg, near Little heart society, Shree Siddhivinayak Meera, Undri, Pune, Maharashtra 411060, India",General Practice,doctor,ChIJCWvPOgDrwjsRqKrh3m7SOrg,18.4438943,73.9135146,"kanade mala, 52/1, Jagdamba Bhawan Marg, near Little heart society, Shree Siddhivinayak Meera, Undri, Pune, Maharashtra 411060, India",4.5,385,False,"['Monday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: Closed']",075759 97575,http://spinespecialistpune.com/,True,0.65,1988.0265530677736,1,1,2026-04-07T23:21:26.614533
Gupta House & Hospital,"survey no 56/6, Shree Siddhivinayak Meera, Undri, Pune, Maharashtra 411060, India",General,establishment,ChIJCT7JmrnrwjsR_p84s6aSRfA,18.4452249,73.9130842,"survey no 56/6, Shree Siddhivinayak Meera, Undri, Pune, Maharashtra 411060, India",5.0,1,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",,,True,0.7,2015.5631181591825,0,0,2026-04-07T23:21:26.715213
Hind Med Tour,"L NO 302, LAW-NEH APPARTMENT, SN.38, HN.3/1/6/8 KONDHWA KD, Tyni Audyogic Wasahat, Kondhwa, Pune, Maharashtra 411048, India",General,establishment,ChIJ94KdR1jqwjsRditPMiP_X4A,18.4536736,73.89097319999999,"L NO 302, LAW-NEH APPARTMENT, SN.38, HN.3/1/6/8 KONDHWA KD, Tyni Audyogic Wasahat, Kondhwa, Pune, Maharashtra 411048, India",0.0,0,False,"['Monday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20093:00\u202fPM', 'Sunday: Closed']",097667 21012,,True,0.6,2016.0117351855786,1,0,2026-04-07T23:21:26.813233
Brigid Hospital,"Metro Greens, SOCIETY, Katraj - Kondhwa Rd, Tilekar Nagar, Kondhwa Budruk, Pune, Maharashtra 411048, India",General,establishment,ChIJr_Aq01_rwjsRNbaz_-gR-jM,18.4498349,73.8836568,"Metro Greens, SOCIETY, Katraj - Kondhwa Rd, Tilekar Nagar, Kondhwa Budruk, Pune, Maharashtra 411048, India",4.9,13,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",,,True,0.7,2021.177374571502,0,0,2026-04-07T23:21:26.918079
Welfare multi-speciality hospital,"jagdamba chowk, next to gagan cefiro, behind Ambekar hotel, Undri, Pune, Maharashtra 411060, India",General,establishment,ChIJyVG6HtbrwjsROLD-nqxRQis,18.4483269,73.9109531,"jagdamba chowk, next to gagan cefiro, behind Ambekar hotel, Undri, Pune, Maharashtra 411060, India",5.0,35,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",095112 95983,,True,0.7999999999999999,2031.609272400019,1,0,2026-04-07T23:21:27.025722
KRUSHNAI CLINIC,"Survey number 48, Tilekar Nagar Rd, near Electronics retail & repair shop, Gokul Nagar, Yewale Wadi, Kondhwa Budruk, Pune, Maharashtra 411048, India",General Practice,doctor,ChIJh645uTXrwjsRC6zBYykcok8,18.4442278,73.87834269999999,"Survey number 48, Tilekar Nagar Rd, near Electronics retail & repair shop, Gokul Nagar, Yewale Wadi, Kondhwa Budruk, Pune, Maharashtra 411048, India",4.7,52,False,"['Monday: 9:00\u202fAM\u2009–\u20092:00\u202fPM, 6:00\u2009–\u200910:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20092:00\u202fPM, 6:00\u2009–\u200910:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20092:00\u202fPM, 6:00\u2009–\u200910:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20092:00\u202fPM, 6:00\u2009–\u200910:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20092:00\u202fPM, 6:00\u2009–\u200910:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20092:00\u202fPM, 6:00\u2009–\u200910:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20092:00\u202fPM, 6:00\u2009–\u200910:00\u202fPM']",074981 98004,https://drshitalkalyankar.getmy.clinic/?utm_source=gmb&utm_medium=web&utm_campaign=tu,True,0.65,2103.5864071025667,1,1,2026-04-07T23:21:27.159493
City Care Hospital,"Shop No 01, Tilekar Nagar, Katraj, Gaotan, Pune, Maharashtra 411048, India",General,establishment,ChIJ2UUlufzqwjsRGr9P07jLALA,18.4441688,73.8782947,"Shop No 01, Tilekar Nagar, Katraj, Gaotan, Pune, Maharashtra 411048, India",4.2,6,False,"['Monday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']",075072 30896,,True,0.6,2105.4520077054967,1,0,2026-04-07T23:21:27.283665
ESI Hospital,"FV3Q+GCQ, Ambedkar Nagar, Kondhwa, Pune, Maharashtra 411048, India",General,establishment,ChIJC9QsDxjrwjsRq0GMgE5FTjU,18.4538482,73.8886191,"FV3Q+GCQ, Ambedkar Nagar, Kondhwa, Pune, Maharashtra 411048, India",0.0,0,False,[],1800 11 2526,,True,0.6,2118.5603069495846,1,0,2026-04-07T23:21:27.382380
Pema Clinic,"Shiva Plaza, C wing, Flat no 8, 1st floor, Khadi machine chowk, Kondhwa Main Rd, Ambedkar Nagar, Kondhwa, Pune, Maharashtra 411048, India",General Practice,doctor,ChIJ3YHxBw_rwjsRS_vuC6zW7Tk,18.4550493,73.8906435,"Shiva Plaza, C wing, Flat no 8, 1st floor, Khadi machine chowk, Kondhwa Main Rd, Ambedkar Nagar, Kondhwa, Pune, Maharashtra 411048, India",4.9,21,False,"['Monday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20092:00\u202fPM']",077450 03060,https://pemaclinic.fly-social.in/,True,0.65,2172.55745568809,1,1,2026-04-07T23:21:27.504983
Adarsh Hospital. KHONDWA BK,"FV3Q+P7F, Ambedkar Nagar, Kondhwa, Pune, Maharashtra 411048, India",General,establishment,ChIJ2yPDMXXrwjsRYhAzPcjpjjI,18.4543181,73.88818739999999,"FV3Q+P7F, Ambedkar Nagar, Kondhwa, Pune, Maharashtra 411048, India",4.7,15,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Closed']",,,True,0.7,2184.5373754586,0,0,2026-04-07T23:21:27.626283
