name,location,specialty,facility_type,place_id,latitude,longitude,vicinity,rating,reviews,is_open_now,opening_hours,phone_number,website,emergency_facility,response_probability,distance_from_center,has_phone,has_website,collected_at
Bliss Multispeciality Hospital,"opposite MSEB Office, Shraddha Nagar, Ambedkar Nagar, Kondhwa, Pune, Maharashtra 411048, India",General,establishment,ChIJcR8kMGvrwjsRtDgHjT-Jp3E,18.4567579,73.8896244,"opposite MSEB Office, Shraddha Nagar, Ambedkar Nagar, Kondhwa, Pune, Maharashtra 411048, India",4.7,115,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",,https://blisshospitalpune.com/,True,0.75,7864.755348468038,0,1,2026-04-08T12:48:12.939566
Sai Multispeciality Hospital,"Govind market ,first floor, opposite yeole tea center, opposite shivaji park, Shivaji Park, Samarth Nagar, New Sangavi, Pimpri-Chinchwad, Maharashtra 411061, India",General,establishment,ChIJqzlHm9K5wjsRxayBSVEHpxU,18.5805494,73.8158835,"Govind market ,first floor, opposite yeole tea center, opposite shivaji park, Shivaji Park, Samarth Nagar, New Sangavi, Pimpri-Chinchwad, Maharashtra 411061, India",4.9,456,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",093739 10945,,True,0.7999999999999999,7955.171297073771,1,0,2026-04-08T12:48:13.494565
Villoo Poonawalla Memorial Hospital,"S.No.156, Plot No.1/3A+3B/1+2, 3, Pune - Solapur Rd, near Savli Corner, Lohiya Nagar, Laxmi Vihar, Hadapsar, Pune, Maharashtra 411028, India",General,establishment,ChIJpfQ-xPDBwjsRgHMBa8UyCAE,18.5034764,73.9290968,"S.No.156, Plot No.1/3A+3B/1+2, 3, Pune - Solapur Rd, near Savli Corner, Lohiya Nagar, Laxmi Vihar, Hadapsar, Pune, Maharashtra 411028, India",4.6,1331,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",020 6745 2222,https://www.villoopoonawallahospital.com/,True,0.85,7974.857222807587,1,1,2026-04-08T12:48:10.643557
"Late Murlidhar Pandurang Laigude Dispensary, PMC Hospital,Dhayri","Rajyog Society, Rajyog Rd, Vadgaon Khurd, Nanded Fata, Pandurang Industrial Area, Dhayari, Pune, Maharashtra 411068, India",General,establishment,ChIJEWNVjHGVwjsRYA6nCME5Jlk,18.4624722,73.8048944,"Rajyog Society, Rajyog Rd, Vadgaon Khurd, Nanded Fata, Pandurang Industrial Area, Dhayari, Pune, Maharashtra 411068, India",4.2,79,True,"['Monday: 9:30\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20091:00\u202fPM', 'Sunday: Closed']",,,True,0.7,8289.66879036621,0,0,2026-04-08T12:48:05.950140
Sahyadri Super Speciality Hospital Hadapsar,"SN 163, Bhosale Garden Rd, beside Bhosale Nagar, Aru Nagar, Laxmi Vihar, Hadapsar, Pune, Maharashtra 411028, India",General,establishment,ChIJ13jtbPfBwjsRq-ooUa9y-u8,18.5032209,73.93218639999999,"SN 163, Bhosale Garden Rd, beside Bhosale Nagar, Aru Nagar, Laxmi Vihar, Hadapsar, Pune, Maharashtra 411028, India",4.7,12875,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",020 4713 8766,https://sahyadrihospital.com/hadapsar/?utm_source=Google&utm_medium=Organic&utm_campaign=GMB,True,0.85,8298.808527032608,1,1,2026-04-08T12:47:59.759977
Shripad MultiSpeciality Hospital,"1st & 2nd floor, Kate square building, Katepuram chowk, opposite to Nilu Phule Natyagruh, Phase 2, Kate Puram, Pimple Gurav, Pune, Pimpri-Chinchwad, Maharashtra 411061, India",General,establishment,ChIJbSpM1Iu5wjsRD5xUwMwNOXU,18.5846249,73.81622469999999,"1st & 2nd floor, Kate square building, Katepuram chowk, opposite to Nilu Phule Natyagruh, Phase 2, Kate Puram, Pimple Gurav, Pune, Pimpri-Chinchwad, Maharashtra 411061, India",4.9,469,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",099399 39006,https://shripadhospital.in/,True,0.85,8326.698292050183,1,1,2026-04-08T12:48:11.741896
"District Hospital, Pune","HRH3+6MH, Aundh - Ravet BRTS Rd, near Sangvi, Phata, Old Sangvi, Pune, Pimpri-Chinchwad, Maharashtra 411027, India",General,establishment,ChIJz9btkNG4wjsRT3qahSxtP_I,18.5780604,73.8042289,"HRH3+6MH, Aundh - Ravet BRTS Rd, near Sangvi, Phata, Old Sangvi, Pune, Pimpri-Chinchwad, Maharashtra 411027, India",3.8,402,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",,,True,0.7,8447.24404689911,0,0,2026-04-08T12:48:04.327294
Dr Vaishali Londhe,"Ashok Chowk, Mundhwa - Kharadi Rd, Raghoba Patil Nagar, Santipur, Sainath Nagar, Kharadi, Pune, Maharashtra 411014, India",General,establishment,ChIJs0RUmF7BwjsR6o1jrtXsieQ,18.5393916,73.93489339999999,"Ashok Chowk, Mundhwa - Kharadi Rd, Raghoba Patil Nagar, Santipur, Sainath Nagar, Kharadi, Pune, Maharashtra 411014, India",4.9,726,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",070280 83071,,True,0.7999999999999999,8665.158506957476,1,0,2026-04-08T12:48:16.389875
"Manipal Hospital, Kharadi - Pune","22/2A, Mundhwa - Kharadi Rd, near Nyati Empire, Santipur, Thite Nagar, Kharadi, Pune, Maharashtra 411014, India",General,establishment,ChIJfwlxH37BwjsROeG41SeLErg,18.5410783,73.935716,"22/2A, Mundhwa - Kharadi Rd, near Nyati Empire, Santipur, Thite Nagar, Kharadi, Pune, Maharashtra 411014, India",4.6,13270,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",020 6165 6666,https://www.manipalhospitals.com/kharadi/,True,0.85,8798.07892624093,1,1,2026-04-08T12:48:01.063697
Remedy Hospital Hadapsar Pune,"Solapur Rd, near Janseva Bank, Hadapsar Gaon, Hadapsar, Pune, Maharashtra 411028, India",General,establishment,ChIJicjxmALCwjsRj3FNsCHzZSQ,18.5002701,73.9365475,"Solapur Rd, near Janseva Bank, Hadapsar Gaon, Hadapsar, Pune, Maharashtra 411028, India",4.8,378,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",020 2699 9186,,True,0.7999999999999999,8822.2436643024,1,0,2026-04-08T12:48:09.773229
