name,location,specialty,facility_type,place_id,latitude,longitude,vicinity,rating,reviews,is_open_now,opening_hours,phone_number,website,emergency_facility,response_probability,distance_from_center,has_phone,has_website,collected_at
PATIL MULTISPECIALITY HOSPITAL,"first floor, MSR olive, Jambhulwadi Rd, Dattanagar, Ambegaon Budruk, Pune, Maharashtra 411046, India",General,establishment,ChIJ4YU77NHqwjsRScllufKRdP0,18.4474482,73.84890039999999,"first floor, MSR olive, Jambhulwadi Rd, Dattanagar, Ambegaon Budruk, Pune, Maharashtra 411046, India",4.7,316,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",086051 21899,https://patilhospitalpune.com/,True,0.85,6827.01126640143,1,1,2026-04-08T12:55:03.344726
Yashwant Hospital,"FR2X+3W7 Siddhivinayak Lane 1, chowk, near siddhivinayak mandir, Dattanagar, Ambegaon Budruk, Pune, Maharashtra 411046, India",General,establishment,ChIJX7EOR87qwjsRPXQYkB1k72I,18.4501648,73.84978550000001,"FR2X+3W7 Siddhivinayak Lane 1, chowk, near siddhivinayak mandir, Dattanagar, Ambegaon Budruk, Pune, Maharashtra 411046, India",3.6,10,True,"['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u200910:00\u202fPM']",098226 19370,,True,0.7999999999999999,6880.486559255314,1,0,2026-04-08T12:55:08.178955
Aura Multispeciality Hospital,"s.no33, Phale Nagar, Datta Nagar Road Near Reliance Fresh Mall, Kalubai Nagar, Shriram Nagar, Ambegaon Budruk, Pune46, Pune, Maharashtra 411046, India",General,establishment,ChIJXbJvmczrwjsR2nnLMYmpX2s,18.4533298,73.85095559999999,"s.no33, Phale Nagar, Datta Nagar Road Near Reliance Fresh Mall, Kalubai Nagar, Shriram Nagar, Ambegaon Budruk, Pune46, Pune, Maharashtra 411046, India",4.6,719,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",076204 42624,https://aurahospitalpune.com/,True,0.85,6947.879799661376,1,1,2026-04-08T12:55:01.121600
Siddhi Hospital,"ढांकावड़े पाटील टाउनशिप, Pune - Satara Rd, behind HP Petrol Pump, Panchod, Balaji Nagar, Pune, Maharashtra 411043, India",General Practice,doctor,ChIJISBjLLnqwjsR4F599NWy8ok,18.4641339,73.8592262,"ढांकावड़े पाटील टाउनशिप, Pune - Satara Rd, behind HP Petrol Pump, Panchod, Balaji Nagar, Pune, Maharashtra 411043, India",4.6,2000,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",074474 34524,http://www.siddhihospital.in/,True,0.85,6983.982564682969,1,1,2026-04-08T12:55:02.319706
"Padalkar Multispeciality Hospital - Multispeciality Hospital in Dattanagar, Pune","Bhadle empire, near HDFC Bank, Dattanagar, Pune, Maharashtra 411046, India",General,establishment,ChIJtaMi65LrwjsRllDXIHMRCPs,18.4493466,73.8478018,"Bhadle empire, near HDFC Bank, Dattanagar, Pune, Maharashtra 411046, India",4.1,128,True,"['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u200910:00\u202fPM']",,https://www.padalkarmultispecialityhospital.com/,True,0.75,7024.143622314044,0,1,2026-04-08T12:55:04.531848
jivraj hospital,"KK market signal, Pune - Satara Rd, near Konark Vihar, Punyai Nagar, Panchod, Dhankawadi, Pune, Maharashtra 411043, India",General,establishment,ChIJlfm-wLvqwjsRUrZOxLDIsc8,18.4679837,73.85801590000001,"KK market signal, Pune - Satara Rd, near Konark Vihar, Punyai Nagar, Panchod, Dhankawadi, Pune, Maharashtra 411043, India",4.7,15,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",020 2436 0255,https://www.aboutmyclinic.com/jivrajclinic,True,0.85,7374.557997569946,1,1,2026-04-08T12:55:10.338669
Sangam Hospital - Bibwewadi IVF & Maternity Centre,"21, Sangam Society Rd, near Vivekanand Statue, संगम नगर, Padmavati Nagar, Pune, Maharashtra 411037, India",General,establishment,ChIJS248XKTqwjsR3_3fgfE6-X0,18.4758041,73.8578373,"21, Sangam Society Rd, near Vivekanand Statue, संगम नगर, Padmavati Nagar, Pune, Maharashtra 411037, India",4.7,320,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",020 2421 2437,https://sangamhospital.in/,True,0.85,8027.437279748412,1,1,2026-04-08T12:55:05.371367
Sahyadri Super Speciality Hospital Hadapsar,"SN 163, Bhosale Garden Rd, beside Bhosale Nagar, Aru Nagar, Laxmi Vihar, Hadapsar, Pune, Maharashtra 411028, India",General,establishment,ChIJ13jtbPfBwjsRq-ooUa9y-u8,18.5032209,73.93218639999999,"SN 163, Bhosale Garden Rd, beside Bhosale Nagar, Aru Nagar, Laxmi Vihar, Hadapsar, Pune, Maharashtra 411028, India",4.7,12875,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",020 4713 8766,https://sahyadrihospital.com/hadapsar/?utm_source=Google&utm_medium=Organic&utm_campaign=GMB,True,0.85,9523.391273095627,1,1,2026-04-08T12:55:12.773248
"Sahyadri Super Speciality Hospital, Deccan Gymkhana, Pune","Plot No. 30-C, Karve Rd, Kachare Colony, Deccan Gymkhana, Pune, Maharashtra 411004, India",General,establishment,ChIJH1XCpYm_wjsRi58ExuGvoeU,18.5130079,73.8393427,"Plot No. 30-C, Karve Rd, Kachare Colony, Deccan Gymkhana, Pune, Maharashtra 411004, India",4.7,14771,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",020 4713 8766,https://sahyadrihospital.com/deccan,True,0.85,12497.783929544239,1,1,2026-04-08T12:55:04.831905
N. M. Wadia Heart Hospital,"32, Sasoon Rd, Central Excise Colony, Sangamvadi, Pune, Maharashtra 411001, India",General,establishment,ChIJJVOVSW3AwjsRp8A9crVZNKI,18.5307479,73.8770237,"32, Sasoon Rd, Central Excise Colony, Sangamvadi, Pune, Maharashtra 411001, India",3.9,147,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",020 6763 6400,https://www.nmwcardiology.org/?utm_source=google&utm_medium=gmb,True,0.85,12623.409897162994,1,1,2026-04-08T12:55:12.284144
"Platinum Multispeciality Hospital-Best CT Scan in Pune,MRI Centre,Cath Lab In Pune, Angiography,Sonography in Warje","Ganapati Matha Mandir, SAARRTHI SINCLAIR HOMES, Ram Nagar Rd, Warje, Pune, Maharashtra 411052, India",General,establishment,ChIJv6wg09SVwjsRvySCRIUlUZA,18.4749773,73.7977267,"Ganapati Matha Mandir, SAARRTHI SINCLAIR HOMES, Ram Nagar Rd, Warje, Pune, Maharashtra 411052, India",4.9,838,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",080 4804 7647,https://platinummultispecialityhospitals.com/,True,0.85,13024.28490260116,1,1,2026-04-08T12:55:09.345617
Ankura Hospital for Women & Children - Pune,"1+2A+2B/1, CTS, S.No.163, Nagras Rd, opposite SBI PBB, Ward No. 8, Wireless Colony, Aundh, Pune, Maharashtra 411007, India",General,establishment,ChIJWSbwyhq_wjsRc8IDS864p-Q,18.5653976,73.80474319999999,"1+2A+2B/1, CTS, S.No.163, Nagras Rd, opposite SBI PBB, Ward No. 8, Wireless Colony, Aundh, Pune, Maharashtra 411007, India",4.6,3144,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",090531 08108,https://www.ankurahospitals.com/women-and-childcare-hospital-in-pune/,True,0.85,19365.212114920832,1,1,2026-04-08T12:55:10.529807
Umarji Mother and Child Care Hospital,"Umarji Mother and Child Care hospital, Survey no. 13/1, comfort zone, beside Aditya Shagun, Balewadi Phata, Baner, Pune, Maharashtra 411045, India",General Practice,doctor,ChIJ6RkI7DK5wjsR5_U7MDh5N_I,18.5716519,73.7807983,"Umarji Mother and Child Care hospital, Survey no. 13/1, comfort zone, beside Aditya Shagun, Balewadi Phata, Baner, Pune, Maharashtra 411045, India",4.7,3858,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",020 3503 2200,https://umarjihealthcare.com/,True,0.85,21419.74948390242,1,1,2026-04-08T12:55:11.017014
